original_url,resolved_url,status_code
https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFofgLQ2EyunTUBsi8ajpxE-T07QVoo-HVV3edGvagbobD4wRTnoGjoJpvBGYRUxj_Kjw8K2-LBNUzAPB0y85pvkEqcwtLqfwAiLRewAEaoUhD_4fPriiS-DzUojAZirhHVQuj7UK_SxXykNP44EX4wobA2qcnqyoYtWMdrUIsKo4g=,https://www.martindale.com/attorney/jonathan-e-bachand-43992621/?pa=277,200
https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFofgLQ2EyunTUBsi8ajpxE-T07QVoo-HVV3edGvagbobD4wRTnoGjoJpvBGYRUxj_Kjw8K2-LBNUzAPB0y85pvkEqcwtLqfwAiLRewAEaoUhD_4fPriiS-DzUojAZirhHVQuj7UK_SxXykNP44EX4wobA2qcnqyoYtWMdrUIsKo4g=,https://www.martindale.com/attorney/jonathan-e-bachand-43992621/?pa=277,200
https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG0hmpFqyEwMPsVHdzDPbR0EHUl-_1U1q_e8l78q6NC9MTIPKlZLtXuyKGbO4-3lSOrOzhpdn0UACEWB58HvBo55XuqrJHUEkMc9wB4CUgN1FAhFz1TKmzeEJ3NP-_Zu5bxgZgWKK1F0qDs1jR79sTFPQ==,https://www.texasbar.com/AM/Template.cfm?Section=Find_A_Lawyer&template=/Customsource/MemberDirectory/MemberDirectoryDetail.cfm&ContactID=158799,200
https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG0hmpFqyEwMPsVHdzDPbR0EHUl-_1U1q_e8l78q6NC9MTIPKlZLtXuyKGbO4-3lSOrOzhpdn0UACEWB58HvBo55XuqrJHUEkMc9wB4CUgN1FAhFz1TKmzeEJ3NP-_Zu5bxgZgWKK1F0qDs1jR79sTFPQ==,https://www.texasbar.com/AM/Template.cfm?Section=Find_A_Lawyer&template=/Customsource/MemberDirectory/MemberDirectoryDetail.cfm&ContactID=158799,200
https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQH0GcnQafUG0Qo0jXf8FL2nzEBasjPC9AGeJ4vb6C0tZGH-xz2duMJevrRXh1NFFN-1T68j-wf1Av9q1NJB9DuC27ics4jeZVAqEtxVDRojdFGB5dVatzADDsXdYLJ7m04cuy8r4hmxD_2Hl4t5H8zK2cjHVkM,https://apps.calbar.ca.gov/attorney/Licensee/Detail/802642,200
https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQH0GcnQafUG0Qo0jXf8FL2nzEBasjPC9AGeJ4vb6C0tZGH-xz2duMJevrRXh1NFFN-1T68j-wf1Av9q1NJB9DuC27ics4jeZVAqEtxVDRojdFGB5dVatzADDsXdYLJ7m04cuy8r4hmxD_2Hl4t5H8zK2cjHVkM,https://apps.calbar.ca.gov/attorney/Licensee/Detail/802642,200
https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEQPp0wWlqoBXUSULqcPxT8d_J0gGEkqnjVa8gsA3KTXIAEn6zIQAc7lrHYatJb4JPBy1XKz77ivqMgfrS5a8JhVJSu9lnioAORaiYEpboNu0v2Xkfp45O8D31fUwNbiqeJBudUaWJFM9sB_giMTAlpCKLOH5u2Y76GHV9vVCZ0xpCYxqAb2Qcr9S3Q0DhhrA==,https://www.reinhartlaw.com/news-insights/reinhart-welcomes-eight-new-attorneys-2025,200
https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEQPp0wWlqoBXUSULqcPxT8d_J0gGEkqnjVa8gsA3KTXIAEn6zIQAc7lrHYatJb4JPBy1XKz77ivqMgfrS5a8JhVJSu9lnioAORaiYEpboNu0v2Xkfp45O8D31fUwNbiqeJBudUaWJFM9sB_giMTAlpCKLOH5u2Y76GHV9vVCZ0xpCYxqAb2Qcr9S3Q0DhhrA==,https://www.reinhartlaw.com/news-insights/reinhart-welcomes-eight-new-attorneys-2025,200
https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEsn6X7Rxv-3WGpFO1LIsal5wwLcGBa610ihntRZGXnGTrUUUBrpOMFY-19hTPVbQhCc4iS7aEjNnelcKZKOdfOidVgG-HWfvykc1RlCEM-PJeZ1mcgjQ2prgMtg6h96gT9ucIRknz81DrsigcCbFwMJuqwKSL0sydQfQoGGEyq-0P8RodRKGjWXBOb3-DoDh9q2nMs35gsK90PyECfsmoVPHUSDQDDqSwf,https://lawful.com/ca/rancho-cucamonga/intellectual-property-lawyers/the-law-office-of-paul-backofen-dVY9sEAC6,200
https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEsn6X7Rxv-3WGpFO1LIsal5wwLcGBa610ihntRZGXnGTrUUUBrpOMFY-19hTPVbQhCc4iS7aEjNnelcKZKOdfOidVgG-HWfvykc1RlCEM-PJeZ1mcgjQ2prgMtg6h96gT9ucIRknz81DrsigcCbFwMJuqwKSL0sydQfQoGGEyq-0P8RodRKGjWXBOb3-DoDh9q2nMs35gsK90PyECfsmoVPHUSDQDDqSwf,https://lawful.com/ca/rancho-cucamonga/intellectual-property-lawyers/the-law-office-of-paul-backofen-dVY9sEAC6,200
https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEsn6X7Rxv-3WGpFO1LIsal5wwLcGBa610ihntRZGXnGTrUUUBrpOMFY-19hTPVbQhCc4iS7aEjNnelcKZKOdfOidVgG-HWfvykc1RlCEM-PJeZ1mcgjQ2prgMtg6h96gT9ucIRknz81DrsigcCbFwMJuqwKSL0sydQfQoGGEyq-0P8RodRKGjWXBOb3-DoDh9q2nMs35gsK90PyECfsmoVPHUSDQDDqSwf,https://lawful.com/ca/rancho-cucamonga/intellectual-property-lawyers/the-law-office-of-paul-backofen-dVY9sEAC6,200
https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHZGtdTtzF1SEyHqKQs-2_ltN2GBRU3GlZbRTkuHIjrFETbAKCBxlUI1lr6Bhbgs6yoEz06F0_4Rx0QgdKuYgDoL0UFfkllzwQsvIzXsC8IwrcNCIYeo-4rbTHH-Fj4BjnYupOtS3UJjWNNyBK7d8tcB0L5SPfU1xNJxwcLVzW7LA==,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHZGtdTtzF1SEyHqKQs-2_ltN2GBRU3GlZbRTkuHIjrFETbAKCBxlUI1lr6Bhbgs6yoEz06F0_4Rx0QgdKuYgDoL0UFfkllzwQsvIzXsC8IwrcNCIYeo-4rbTHH-Fj4BjnYupOtS3UJjWNNyBK7d8tcB0L5SPfU1xNJxwcLVzW7LA==,404
https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFDnvdcGtEA6baT6sl8DY74DvIKAVJijJtR3GbpSMNmGk5kHv8iUKM3UTYH4MR46S212VrqIZQLWyRk_kXL_TQd-jvtPaOdH4Ome8ZSXexBx6t1uL68xvCK3Dz4CkLcpkQBUCyfA8HQ_P8=,https://kokkalaw.com/kenneth-r.-backus-jr.html,200
https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQF2aS4LnRVlduLzK3PLXPwXcHvQpJgKKWY1IR69rGnlN8sTiIY2cpsnagBnZSnGOSghljRRbuvP9I6DpbU8uepa8PqF83ReOC3OxahfYq8cb4l4Y4QzV58tDBFKOBpQ5PPx0AZGloW9iENh80AjGlHbltZAkyg=,https://apps.calbar.ca.gov/attorney/Licensee/Detail/206871,200
"https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHZGtdTtzF1SEyHqKQs-2_ltN2GBRU3GlZbRTkuHIjrFETbAKCBxlUI1lr6Bhbgs6yoEz06F0_4Rx0QgdKuYgDoL0UFfkllzwQsvIzXsC8IwrcNCIYeo-4rbTHH-Fj4BjnYupOtS3UJjWNNyBK7d8tcB0L5SPfU1xNJxwcLVzW7LA==,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFDnvdcGtEA6baT6sl8DY74DvIKAVJijJtR3GbpSMNmGk5kHv8iUKM3UTYH4MR46S212VrqIZQLWyRk_kXL_TQd-jvtPaOdH4Ome8ZSXexBx6t1uL68xvCK3Dz4CkLcpkQBUCyfA8HQ_P8=",https://kokkalaw.com/kenneth-r.-backus-jr.html,200
"https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHZGtdTtzF1SEyHqKQs-2_ltN2GBRU3GlZbRTkuHIjrFETbAKCBxlUI1lr6Bhbgs6yoEz06F0_4Rx0QgdKuYgDoL0UFfkllzwQsvIzXsC8IwrcNCIYeo-4rbTHH-Fj4BjnYupOtS3UJjWNNyBK7d8tcB0L5SPfU1xNJxwcLVzW7LA==,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFDnvdcGtEA6baT6sl8DY74DvIKAVJijJtR3GbpSMNmGk5kHv8iUKM3UTYH4MR46S212VrqIZQLWyRk_kXL_TQd-jvtPaOdH4Ome8ZSXexBx6t1uL68xvCK3Dz4CkLcpkQBUCyfA8HQ_P8=",https://kokkalaw.com/kenneth-r.-backus-jr.html,200
https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGQeoE692UPc3qF4gIzhmyYKUI0-d-JV094DRzwa5qWGQmncGjqXr3QFyOiDdfzY_nBrM9PleUokmETvyOLYwh8d-F6hncooMEeQnlJRywQlm0MwvO_MIvQLgGZaolv02gwudW9MEW_S5aPoKxSs5FkKIMiF1pvcH23vqZPCCG70A==,https://youngbasile.com/wp-content/uploads/2022/07/YB_John_Bacoch.pdf,200
https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGQeoE692UPc3qF4gIzhmyYKUI0-d-JV094DRzwa5qWGQmncGjqXr3QFyOiDdfzY_nBrM9PleUokmETvyOLYwh8d-F6hncooMEeQnlJRywQlm0MwvO_MIvQLgGZaolv02gwudW9MEW_S5aPoKxSs5FkKIMiF1pvcH23vqZPCCG70A==,https://youngbasile.com/wp-content/uploads/2022/07/YB_John_Bacoch.pdf,200
https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGQeoE692UPc3qF4gIzhmyYKUI0-d-JV094DRzwa5qWGQmncGjqXr3QFyOiDdfzY_nBrM9PleUokmETvyOLYwh8d-F6hncooMEeQnlJRywQlm0MwvO_MIvQLgGZaolv02gwudW9MEW_S5aPoKxSs5FkKIMiF1pvcH23vqZPCCG70A==,https://youngbasile.com/wp-content/uploads/2022/07/YB_John_Bacoch.pdf,200
